,Audio,Clean_WER,Clean_WIL,Clean_BLEU,whitenoise_WER,whitenoise_WIL,whitenoise_BLEU,pinknoise_WER,pinknoise_WIL,pinknoise_BLEU,brownnoise_WER,brownnoise_WIL,brownnoise_BLEU,violetnoise_WER,violetnoise_WIL,violetnoise_BLEU,bluenoise_WER,bluenoise_WIL,bluenoise_BLEU,dog_bark_WER,dog_bark_WIL,dog_bark_BLEU,streets_WER,streets_WIL,streets_BLEU,talking_WER,talking_WIL,talking_BLEU,roadworks_WER,roadworks_WIL,roadworks_BLEU,mixtalk_WER,mixtalk_WIL,mixtalk_BLEU,Sex
722,D:/hello/ASR/LibriSpeech/test-clean/260\123286\260-123286-0020.flac,0.0,0.0,0.9991615571909788,1.0,0.9166666666666666,1.0,0.6666666666666666,0.8888888888888888,1.0,0.0,0.0,0.9991615571909788,0.3333333333333333,0.5555555555555556,0.9999999999999998,1.3333333333333333,1.0,1.0,1.3333333333333333,1.0,1.0,0.6666666666666666,0.8333333333333334,1.0,1.0,1.0,1.0,0.3333333333333333,0.5555555555555556,0.9999999999999998,0.3333333333333333,0.5555555555555556,0.9999999999999998,M
723,D:/hello/ASR/LibriSpeech/test-clean/260\123286\260-123286-0021.flac,0.2,0.3599999999999999,0.22218850628850886,0.6,0.84,1.0,0.4,0.64,0.9999999999999998,0.2,0.3599999999999999,0.22218850628850886,1.2,1.0,1.0,1.0,0.8857142857142857,1.0,1.4,1.0,1.0,0.8,0.95,1.0,0.8,0.95,1.0,0.6,0.84,1.0,1.2,0.9714285714285714,1.0,M
724,D:/hello/ASR/LibriSpeech/test-clean/260\123286\260-123286-0022.flac,0.25,0.3571428571428572,0.3157920537103882,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.3571428571428572,0.3157920537103882,0.75,0.9375,1.0,1.125,0.9875,1.0,0.375,0.609375,0.3969741908921469,0.625,0.8392857142857143,0.999713840273598,0.75,0.9375,1.0,0.75,0.9285714285714286,1.0,0.875,0.8875,1.0,M
725,D:/hello/ASR/LibriSpeech/test-clean/260\123286\260-123286-0023.flac,0.6842105263157895,0.8388157894736842,0.5816728244719402,0.9473684210526316,0.9924812030075189,1.0,1.0,1.0,1.0,0.6842105263157895,0.7655502392344498,0.7596389296134349,0.631578947368421,0.8157894736842105,0.6724245645407527,0.7368421052631579,0.9060150375939848,1.0,0.7368421052631579,0.8803827751196173,0.8100783370107085,0.9473684210526316,0.9934210526315792,1.0,0.9473684210526316,0.9736842105263158,1.0,0.8421052631578947,0.9526315789473684,1.0,0.9473684210526316,0.9962406015037594,1.0,M
726,D:/hello/ASR/LibriSpeech/test-clean/260\123286\260-123286-0024.flac,0.875,0.9791666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.9,1.0,0.875,0.975,1.0,0.875,0.975,1.0,1.125,0.9875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,M
727,D:/hello/ASR/LibriSpeech/test-clean/260\123286\260-123286-0025.flac,0.12,0.2256,0.15436226775281914,0.72,0.9147826086956522,0.7193914240011895,0.68,0.84,0.7287411812207181,0.16,0.2256,0.17233428108063387,0.48,0.606153846153846,0.4341584118764503,0.72,0.8968421052631579,1.0,0.4,0.6086956521739131,0.4250515574291842,0.56,0.7311111111111109,0.5788941747844587,0.8,0.9230769230769232,0.8555257091501003,0.6,0.7333333333333334,0.6692089898556141,0.48,0.6780952380952381,0.540931004109068,M
728,D:/hello/ASR/LibriSpeech/test-clean/260\123286\260-123286-0026.flac,0.10526315789473684,0.1549707602339181,0.12913155698855838,0.8421052631578947,0.9605263157894736,0.9998490279838119,0.9473684210526316,0.9934210526315792,1.0,0.10526315789473684,0.1549707602339181,0.12913155698855838,0.5263157894736842,0.7229916897506925,0.5600352733226026,0.7368421052631579,0.9060150375939848,0.7321730896062935,0.7368421052631579,0.8710526315789474,0.9997520886264966,0.8947368421052632,0.9824561403508772,1.0,0.8947368421052632,0.9649122807017544,1.0,0.9473684210526316,0.986842105263158,1.0,0.5263157894736842,0.6954887218045113,0.5978708652427939,M
729,D:/hello/ASR/LibriSpeech/test-clean/260\123286\260-123286-0027.flac,0.14285714285714285,0.22857142857142865,0.2033457835835495,1.0,1.0,1.0,0.9523809523809524,0.9947089947089948,1.0,0.3333333333333333,0.4509803921568628,0.43695363790987785,0.7619047619047619,0.9084249084249084,0.9998652463808724,0.8571428571428571,0.9610389610389608,1.0,0.7142857142857143,0.8928571428571429,0.7526671747856707,0.8571428571428571,0.9387755102040816,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,0.9642857142857144,1.0,M
730,D:/hello/ASR/LibriSpeech/test-clean/260\123286\260-123286-0028.flac,0.3809523809523809,0.5529100529100529,0.4351373504613406,0.5238095238095238,0.7198879551820728,0.6251983078536548,0.8571428571428571,0.9642857142857144,1.0,0.3809523809523809,0.5087719298245614,0.3519669549219817,0.6190476190476191,0.773109243697479,0.6251983078536548,0.6190476190476191,0.7968253968253969,0.6908726630662643,0.6666666666666666,0.8207282913165266,0.6463857470134922,0.8095238095238095,0.93734335839599,0.99982639668812,0.9047619047619048,0.9809523809523808,1.0,0.9047619047619048,0.9826839826839828,1.0,0.8095238095238095,0.9307359307359307,1.0,M
731,D:/hello/ASR/LibriSpeech/test-clean/260\123286\260-123286-0029.flac,0.1,0.18999999999999995,0.15113413066789685,0.8,0.9555555555555556,1.0,0.6,0.8,1.0,0.1,0.18999999999999995,0.15113413066789685,0.1,0.18999999999999995,0.15113413066789685,0.1,0.18999999999999995,0.15113413066789685,0.6,0.8,1.0,0.2,0.2888888888888889,0.9994157226932108,0.6,0.8,1.0,0.8,0.92,1.0,0.3,0.51,0.3513214547787006,M
