,Audio,Clean_WER,Clean_WIL,Clean_BLEU,whitenoise_WER,whitenoise_WIL,whitenoise_BLEU,pinknoise_WER,pinknoise_WIL,pinknoise_BLEU,brownnoise_WER,brownnoise_WIL,brownnoise_BLEU,violetnoise_WER,violetnoise_WIL,violetnoise_BLEU,bluenoise_WER,bluenoise_WIL,bluenoise_BLEU,dog_bark_WER,dog_bark_WIL,dog_bark_BLEU,streets_WER,streets_WIL,streets_BLEU,talking_WER,talking_WIL,talking_BLEU,roadworks_WER,roadworks_WIL,roadworks_BLEU,mixtalk_WER,mixtalk_WIL,mixtalk_BLEU,Sex
923,D:/hello/ASR/LibriSpeech/test-clean/3570\5694\3570-5694-0003.flac,0.4716981132075472,0.6578853684585262,0.4115827605418652,0.8867924528301887,0.9433962264150944,1.0,0.981132075471698,0.9905660377358492,1.0,0.4339622641509434,0.6734397677793904,0.41561746928823096,0.9056603773584906,0.9890302764370338,1.0,0.8867924528301887,0.9773584905660376,1.0,0.6792452830188679,0.8690130624092889,0.6064674270811723,0.9622641509433962,0.995560488346282,1.0,1.0,1.0,1.0,0.9433962264150944,0.9858490566037736,1.0,0.7924528301886793,0.8613207547169811,0.665123398679953,F
924,D:/hello/ASR/LibriSpeech/test-clean/3570\5694\3570-5694-0004.flac,0.25,0.3786764705882353,0.26568901127122924,0.9375,0.9791666666666666,1.0,1.0,1.0,1.0,0.3125,0.4375,0.31254734759125546,0.8125,0.953125,1.0,0.9375,0.9943181818181818,1.0,0.5,0.68359375,0.4657566135287698,0.8125,0.8125,0.999988996504013,0.9375,0.9375,1.0,0.875,0.875,1.0,0.6875,0.8676470588235294,0.6163599247332656,F
925,D:/hello/ASR/LibriSpeech/test-clean/3570\5694\3570-5694-0005.flac,0.55,0.6479166666666667,0.4978470734438441,1.0,1.0,1.0,1.0,1.0,1.0,0.65,0.8071428571428572,0.6449467163369433,0.95,0.9964285714285714,1.0,0.95,0.99375,1.0,0.95,0.9970588235294118,1.0,0.95,0.9875,1.0,0.95,0.975,1.0,1.0,1.0,1.0,0.9,0.9456521739130436,0.7432771361653507,F
926,D:/hello/ASR/LibriSpeech/test-clean/3570\5694\3570-5694-0006.flac,0.3414634146341464,0.501108647450111,0.3411452956410379,0.9512195121951221,0.975609756097561,1.0,1.0,1.0,1.0,0.4634146341463415,0.6397748592870545,0.4255811195664616,0.8048780487804879,0.9418938307030128,1.0,0.8292682926829268,0.9430894308943092,1.0,0.7073170731707317,0.8804878048780488,0.9997580922136312,0.8780487804878049,0.9445676274944568,1.0,1.0,1.0,1.0,0.9512195121951221,0.975609756097561,1.0,0.7560975609756098,0.8087039693926351,0.5801534373966548,F
927,D:/hello/ASR/LibriSpeech/test-clean/3570\5694\3570-5694-0007.flac,0.1935483870967742,0.3185483870967741,0.2392546276735401,1.0,1.0,1.0,1.0,1.0,1.0,0.4516129032258064,0.6628511966701353,0.4660842364973488,0.9032258064516128,0.9873772791023844,1.0,0.967741935483871,0.9970674486803521,1.0,0.5483870967741935,0.7960457856399584,0.5828022969763413,0.967741935483871,0.9838709677419356,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7741935483870968,0.8780241935483871,0.9997600317640256,F
928,D:/hello/ASR/LibriSpeech/test-clean/3570\5694\3570-5694-0008.flac,0.1111111111111111,0.2098765432098766,0.14245519365118586,0.9259259259259259,0.9851851851851852,1.0,0.9629629629629628,0.962962962962963,1.0,0.14814814814814814,0.2464387464387464,0.18030834511532745,0.8518518518518519,0.9703703703703704,1.0,0.8888888888888888,0.9791666666666666,1.0,0.6666666666666666,0.8628257887517147,0.671012151054119,0.9629629629629628,0.9947089947089948,1.0,1.0,1.0,1.0,0.8888888888888888,0.9444444444444444,1.0,0.8888888888888888,0.9540229885057472,0.9998595321567454,F
929,D:/hello/ASR/LibriSpeech/test-clean/3570\5694\3570-5694-0009.flac,0.2352941176470588,0.3975044563279858,0.2946603508323198,0.9117647058823528,0.9621848739495799,1.0,1.0,1.0,1.0,0.35294117647058826,0.5294117647058824,0.3912992084365101,0.8235294117647058,0.9621848739495799,1.0,0.9411764705882352,0.9915966386554622,1.0,0.7941176470588235,0.927807486631016,0.7346787588790822,0.9705882352941176,0.9950980392156864,1.0,0.9705882352941176,0.9901960784313726,1.0,0.9411764705882352,0.9831932773109244,1.0,0.7058823529411765,0.7926829268292683,0.6405124134685339,F
930,D:/hello/ASR/LibriSpeech/test-clean/3570\5694\3570-5694-0010.flac,0.2432432432432433,0.41141141141141135,0.3134497926116241,0.9189189189189192,0.9594594594594594,1.0,1.0,1.0,1.0,0.2972972972972973,0.4626391096979332,0.3671142055040473,0.9459459459459459,0.9958419958419958,1.0,0.9189189189189192,0.9878378378378381,1.0,0.7837837837837838,0.9002079002079002,0.9997380285590092,0.9189189189189192,0.9695945945945946,1.0,1.0,1.0,1.0,0.972972972972973,0.9954954954954957,1.0,0.972972972972973,0.9513513513513514,0.9998454519827854,F
931,D:/hello/ASR/LibriSpeech/test-clean/3570\5694\3570-5694-0011.flac,0.34375,0.5416666666666667,0.38596530881465896,0.90625,0.9598214285714286,1.0,1.0,1.0,1.0,0.6875,0.85,0.6533273881688481,0.84375,0.9660326086956522,1.0,0.9375,0.9930555555555556,1.0,0.90625,0.9276785714285716,0.9997743068520364,1.0,1.0,1.0,0.96875,0.9895833333333334,1.0,0.96875,0.99375,1.0,0.8125,0.9393939393939394,0.7416909643587823,F
932,D:/hello/ASR/LibriSpeech/test-clean/3570\5694\3570-5694-0012.flac,0.5833333333333334,0.7916666666666666,0.9997045461607136,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.9696969696969696,1.0,1.0,1.0,1.0,0.9166666666666666,0.9791666666666666,1.0,0.8333333333333334,0.9523809523809524,1.0,1.0,1.0,1.0,0.8333333333333334,0.9166666666666666,1.0,1.0,1.0,1.0,0.6666666666666666,0.8888888888888888,1.0,F
