,Audio,Clean_WER,Clean_WIL,Clean_BLEU,whitenoise_WER,whitenoise_WIL,whitenoise_BLEU,pinknoise_WER,pinknoise_WIL,pinknoise_BLEU,brownnoise_WER,brownnoise_WIL,brownnoise_BLEU,violetnoise_WER,violetnoise_WIL,violetnoise_BLEU,bluenoise_WER,bluenoise_WIL,bluenoise_BLEU,dog_bark_WER,dog_bark_WIL,dog_bark_BLEU,streets_WER,streets_WIL,streets_BLEU,talking_WER,talking_WIL,talking_BLEU,roadworks_WER,roadworks_WIL,roadworks_BLEU,mixtalk_WER,mixtalk_WIL,mixtalk_BLEU,Sex
280,D:/hello/ASR/LibriSpeech/test-clean/1320\122612\1320-122612-0005.flac,0.3809523809523809,0.512987012987013,0.3857330657479439,0.42857142857142855,0.6190476190476191,0.4620760575091831,0.3333333333333333,0.4814814814814815,0.3756237234157547,0.3809523809523809,0.5555555555555556,0.3711102324432396,0.3333333333333333,0.5333333333333334,0.35956313102235504,0.3333333333333333,0.5333333333333334,0.35956313102235504,0.3333333333333333,0.5087719298245614,0.3717427764058663,0.2857142857142857,0.43609022556390975,0.3519669549219817,0.3333333333333333,0.5087719298245614,0.3970591279901904,0.4761904761904762,0.7256235827664399,0.4880223589239718,0.6190476190476191,0.8207282913165266,0.6782712689806619,M
281,D:/hello/ASR/LibriSpeech/test-clean/1320\122612\1320-122612-0006.flac,0.4615384615384616,0.6858974358974359,0.5506175059486874,0.6923076923076923,0.8632478632478633,0.9998006542447592,0.5384615384615384,0.7230769230769231,0.9996962704394041,0.38461538461538464,0.5524475524475524,0.43043657800204216,0.6153846153846154,0.8397435897435898,0.9997510892256306,0.6923076923076923,0.8881118881118881,0.9997891052715986,0.4615384615384616,0.6858974358974359,0.5506175059486874,0.5384615384615384,0.7230769230769231,0.9996962704394041,0.6153846153846154,0.8076923076923077,0.9997326623109112,0.4615384615384616,0.6858974358974359,0.5506175059486874,0.5384615384615384,0.6923076923076923,0.5831742585589482,M
282,D:/hello/ASR/LibriSpeech/test-clean/1320\122612\1320-122612-0007.flac,0.42857142857142855,0.6190476190476191,0.4777787578712012,0.7857142857142857,0.9285714285714286,1.0,0.7142857142857143,0.873015873015873,0.9998216175805704,0.42857142857142855,0.6190476190476191,0.4777787578712012,0.6428571428571429,0.8214285714285714,1.0,0.5714285714285714,0.7142857142857143,0.6841906461041238,0.35714285714285715,0.4740259740259739,0.4418617942265644,0.42857142857142855,0.5844155844155845,0.4860332948668203,0.6428571428571429,0.7448979591836735,0.7676085241958651,0.5714285714285714,0.7662337662337663,0.6600555467782122,0.9285714285714286,0.9857142857142858,1.0,M
283,D:/hello/ASR/LibriSpeech/test-clean/1320\122612\1320-122612-0008.flac,0.043478260869565216,0.08506616257088839,0.06137687808801051,0.6086956521739131,0.7608695652173914,0.5930775085213041,0.3043478260869565,0.4940711462450593,0.3859035507051341,0.043478260869565216,0.08506616257088839,0.06137687808801051,0.2608695652173913,0.4130434782608695,0.2851971080643436,0.21739130434782608,0.38752362948960295,0.2727115881941463,0.043478260869565216,0.08506616257088839,0.06137687808801051,0.21739130434782608,0.38752362948960295,0.2772975687607061,0.3478260869565217,0.5108695652173914,0.4129752756962339,0.39130434782608703,0.5746691871455576,0.4267102517008991,0.39130434782608703,0.5514874141876429,0.4623756560278121,M
284,D:/hello/ASR/LibriSpeech/test-clean/1320\122612\1320-122612-0009.flac,0.16666666666666666,0.3055555555555555,0.2100462263879288,0.25,0.4375,0.29748304424614336,0.3333333333333333,0.5555555555555556,0.3830684977915117,0.16666666666666666,0.3055555555555555,0.2100462263879288,0.16666666666666666,0.3055555555555555,0.2100462263879288,0.16666666666666666,0.3055555555555555,0.2100462263879288,0.08333333333333333,0.08333333333333337,0.12366061146886542,0.16666666666666666,0.2424242424242425,0.2106632007628892,0.5,0.6858974358974359,0.5503097617412324,0.16666666666666666,0.3055555555555555,0.2100462263879288,0.3333333333333333,0.4807692307692309,0.3831922584977576,M
285,D:/hello/ASR/LibriSpeech/test-clean/1320\122612\1320-122612-0010.flac,0.17857142857142858,0.2733516483516484,0.21069198662929056,0.17857142857142858,0.30026455026455023,0.2382999321349725,0.21428571428571427,0.30026455026455023,0.2219252898283227,0.14285714285714285,0.2380952380952381,0.1589054889381437,0.17857142857142858,0.2733516483516484,0.21069198662929056,0.21428571428571427,0.3351648351648352,0.2628197192497812,0.17857142857142858,0.2733516483516484,0.21069198662929056,0.17857142857142858,0.2733516483516484,0.21069198662929056,0.25,0.37,0.3016004093040999,0.32142857142857145,0.4897959183673469,0.34532826693298035,0.2857142857142857,0.37,0.31911981547006674,M
286,D:/hello/ASR/LibriSpeech/test-clean/1320\122612\1320-122612-0011.flac,0.20930232558139536,0.3279069767441861,0.2778499158823077,0.32558139534883723,0.4895065229722064,0.3836349084435071,0.32558139534883723,0.4985092426952892,0.3856183101617249,0.20930232558139536,0.3279069767441861,0.2667974166413458,0.2790697674418605,0.4412790697674419,0.34823814084488336,0.2558139534883721,0.4046511627906977,0.31327622535638866,0.20930232558139536,0.3279069767441861,0.26637820987991,0.2325581395348837,0.3668604651162791,0.2900254796674294,0.4186046511627907,0.6069767441860465,0.4733281090887808,0.3953488372093023,0.5761627906976744,0.4524544676175951,0.3953488372093023,0.5236081747709656,0.4863818303468672,M
287,D:/hello/ASR/LibriSpeech/test-clean/1320\122612\1320-122612-0012.flac,0.2,0.3599999999999999,0.2749302135599946,0.5,0.7,0.569423163895235,0.3666666666666665,0.5702380952380952,0.4638502320856317,0.2333333333333333,0.41222222222222216,0.309531187818597,0.26666666666666666,0.38064516129032255,0.2830639953622869,0.4666666666666667,0.6788888888888889,0.4756894242651058,0.3,0.4931034482758621,0.3941269256314036,0.43333333333333335,0.6146666666666667,0.5117585217023985,0.9,0.9625,1.0,0.6333333333333333,0.7983333333333333,0.9997853910765359,0.3666666666666665,0.5186666666666666,0.41565213010312907,M
288,D:/hello/ASR/LibriSpeech/test-clean/1320\122612\1320-122612-0013.flac,0.045454545454545456,0.08884297520661144,0.06428985119675024,0.3636363636363637,0.5757575757575758,0.4420801325222831,0.2727272727272727,0.4458874458874459,0.30411788729357525,0.045454545454545456,0.08884297520661144,0.06428985119675024,0.3181818181818182,0.512987012987013,0.3782916697738021,0.3636363636363637,0.5757575757575758,0.4470378228982336,0.045454545454545456,0.08884297520661144,0.06097347549257193,0.2272727272727273,0.3744588744588745,0.2358203850211293,0.3636363636363637,0.5545454545454546,0.4151348986214524,0.4090909090909091,0.6341991341991342,0.46838457884806894,0.13636363636363635,0.2186147186147186,0.17282026472290501,M
289,D:/hello/ASR/LibriSpeech/test-clean/1320\122612\1320-122612-0014.flac,0.2857142857142857,0.4047619047619048,0.30624720023347474,0.2857142857142857,0.4047619047619048,0.2832907880057581,0.2857142857142857,0.4047619047619048,0.2832907880057581,0.2857142857142857,0.4047619047619048,0.30624720023347474,0.2857142857142857,0.4047619047619048,0.2832907880057581,0.2857142857142857,0.4047619047619048,0.2832907880057581,0.2857142857142857,0.4047619047619048,0.2832907880057581,0.2857142857142857,0.4047619047619048,0.2832907880057581,0.2857142857142857,0.4047619047619048,0.2832907880057581,0.2857142857142857,0.4047619047619048,0.2832907880057581,0.14285714285714285,0.2653061224489797,0.210721663931232,M
